subsystem,address,width,register,read_semantics,write_semantics,clear_on_write,interrupt_behavior,implementation,status,evidence
PI,0xCC003000,32,InterruptCause,latched cause + reset state,write-one-to-clear,written bits,cause & mask,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003004,32,InterruptMask,mask,replace mask,none,cause & mask,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC00300C,32,FifoBase,CPU FIFO base,mask 0x03ffffe0,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003010,32,FifoEnd,last aligned CPU FIFO burst,mask 0x03ffffe0,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003014,32,FifoWritePointer,write pointer,mask 0x03ffffe0,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003018,32,FifoReset,unmapped,bit 0 sets reset request,consumed by runtime,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC00301C,32,ErrorCause,stored low bits,mask 7,none,no producer modeled,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003020,32,ErrorAddress,stored value,rejected,none,no producer modeled,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003024,32,ResetCode,stored value,replace,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003028,32,Unknown28,initial 0x1ff,mask 0x3ff,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC00302C,32,FlipperRevision,constant 0x246500b1,rejected,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
PI,0xCC003030,32,BusStrength,initial 0x02492492,mask 0x07ffffff,none,none,runtime/hw/pi/native_pi.cpp:Read32/Write32,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004000,16,Region0First,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004002,16,Region0Last,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004004,16,Region1First,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004006,16,Region1Last,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004008,16,Region2First,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00400A,16,Region2Last,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00400C,16,Region3First,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00400E,16,Region3Last,stored,replace,none,protection enforcement missing,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004010,16,ProtectionType,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00401C,16,IrqMask,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00401E,16,IrqFlag,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004020,16,Unknown20,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004022,16,ProtectionAddrLo,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004024,16,ProtectionAddrHi,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC00405A,16,Unknown5A,stored,replace; no W1C implementation,none implemented,no protection event producer,runtime/hw/mi/native_mi.cpp:Read16/Write16,Partial,Runtime inspection; hardware conformance not yet fully tested
MI,0xCC004032,16,Timer0Hi,stored (does not advance),replace half,none,none,runtime/hw/mi/native_mi.cpp:Read16/Write16,Missing,Runtime inspection; hardware conformance not yet fully tested
