game,executable,recognized,entry_point,recompilation,main_entry,os_init,gx_init,first_frame,audio_init,menu,gameplay,level_change,overlay,final_state,last_pc,last_lr,reason,evidence
Animaniacs-The-Great-Edgar-Hunt-USA,debug/discs/Animaniacs-The-Great-Edgar-Hunt-USA/sys/main.dol,DOL header parsed,0x80003100,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Disney-s-Magical-Mirror-Starring-Mickey-Mouse-USA,debug/discs/Disney-s-Magical-Mirror-Starring-Mickey-Mouse-USA/sys/main.dol,DOL header parsed,0x80003140,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Harry-Potter-and-the-Chamber-of-Secrets-USA,debug/discs/Harry-Potter-and-the-Chamber-of-Secrets-USA/sys/main.dol,DOL header parsed,0x80003100,Cached module ABI validated; no fresh compile,Unverified,Observed runtime/guest OS activity,Observed command stream,Observed 3D Burrow scene in host captures at 35 and 52 s; full pixel correctness unverified,DSP bootstrap/task and generated audio frames observed,Unverified,Unverified,Unverified,Unverified,Diagnostic stop at 52 s; no runtime fault,0xfffffffc,0x80185e84,"v110 XFB boundary plus Aurora bind-group lifetime fix: 1662 DI reads and 3107 host presentations; visible 3D cutscene, gameplay and remaining glitches unverified",.gekkoaot/audit-v2/hpcos-v112-resize-retain/run.log; .gekkoaot/audit-v2/hpcos-v112-resize-retain/frame-35.png; .gekkoaot/audit-v2/hpcos-v112-resize-retain/frame-52.png
Harry-Potter-and-the-Prisoner-of-Azkaban-USA,debug/discs/Harry-Potter-and-the-Prisoner-of-Azkaban-USA/sys/main.dol,DOL header parsed,0x80003100,In progress; isolated PMC routine passed,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,Whole-game run pending native module build,.gekkoaot/audit-v2/corpus-files.txt
Medal-of-Honor-Frontline-USA,debug/discs/Medal-of-Honor-Frontline-USA/sys/main.dol,DOL header parsed,0x80680040,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Moh2BootRel.dol; Moh2RelGC.elf; Moh2StubRelGC.elf present; not retested,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Super-Monkey-Ball-2-USA,debug/discs/Super-Monkey-Ball-2-USA/sys/main.dol,DOL header parsed,0x80003140,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Super-Monkey-Ball-USA,debug/discs/Super-Monkey-Ball-USA/sys/main.dol,DOL header parsed,0x80003100,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Tales-of-Symphonia-USA-Disc-1,debug/discs/Tales-of-Symphonia-USA-Disc-1/sys/main.dol,DOL header parsed,0x80003154,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Tom-Clancy-s-Ghost-Recon-2-USA-En-Fr-Es,debug/discs/Tom-Clancy-s-Ghost-Recon-2-USA-En-Fr-Es/sys/main.dol,DOL header parsed,0x80005240,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Unverified,Not run,Unverified,Unverified,No smoke performed in this pass,.gekkoaot/audit-v2/corpus-files.txt
Harry-Potter-and-the-Sorcerer-s-Stone-USA-En-Es-Rev-1,.gekkoaot/cache/discs/Harry-Potter-and-the-Sorcerer-s-Stone-USA-En-Es-Rev-1/sys/main.dol,DOL header parsed,0x80003100,Cached module ABI validated; lacks memory restart capability,Unverified,Observed runtime/guest OS activity,Observed GX commands and repeated EFB copies,Observed 3D cutscene pixels in host captures at 35 and 52 s; full pixel correctness unverified,DSP task and generated audio frames observed,Unverified,Unverified,Unverified,Unverified,Diagnostic stop at 52 s after window resize; no runtime fault,0xfffffffc,0x8019498c,"v110 XFB boundary plus Aurora bind-group lifetime fix: 867 DI reads and 3107 host presentations; 3D cutscene shown after resize, gameplay unverified",.gekkoaot/audit-v2/hpss-v112-resize-retain/run.log; .gekkoaot/audit-v2/hpss-v112-resize-retain/frame-35.png; .gekkoaot/audit-v2/hpss-v112-resize-retain/frame-52.png
